iter	Passed	Remaining
0	140	84356
1	141	42367
2	142	28339
3	142	21293
4	143	17078
5	144	14269
6	144	12263
7	145	10761
8	146	9599
9	146	8662
10	147	7894
11	147	7249
12	148	6702
13	149	6238
14	149	5831
15	150	5479
16	150	5168
17	151	4891
18	151	4647
19	152	4425
20	153	4219
21	153	4038
22	155	3903
23	156	3750
24	156	3610
25	157	3476
26	158	3355
27	158	3243
28	159	3135
29	159	3034
30	160	2942
31	160	2857
32	161	2777
33	162	2705
34	163	2633
35	163	2564
36	164	2497
37	164	2437
38	165	2380
39	166	2326
40	166	2273
41	167	2223
42	167	2175
43	168	2129
44	169	2085
45	169	2043
46	170	2003
47	170	1964
48	171	1927
49	172	1892
50	172	1858
51	173	1825
52	173	1793
53	174	1762
54	174	1733
55	175	1705
56	176	1678
57	176	1652
58	177	1626
59	177	1601
60	178	1577
61	179	1554
62	179	1532
63	180	1510
64	180	1489
65	181	1469
66	182	1449
67	182	1430
68	183	1411
69	183	1392
70	184	1374
71	185	1357
72	185	1340
73	186	1323
74	186	1307
75	187	1291
76	187	1276
77	188	1261
78	189	1247
79	189	1232
80	190	1218
81	190	1204
82	191	1191
83	191	1178
84	192	1166
85	193	1154
86	193	1142
87	194	1130
88	194	1118
89	195	1107
90	196	1096
91	196	1086
92	197	1076
93	198	1066
94	198	1056
95	199	1047
96	200	1037
97	200	1028
98	201	1018
99	201	1009
100	202	1000
101	203	991
102	203	982
103	204	973
104	204	965
105	205	956
106	205	948
107	206	940
108	207	932
109	207	924
110	208	917
111	208	909
112	209	901
113	209	893
114	210	885
115	210	878
116	211	871
117	211	864
118	212	858
119	212	851
120	213	845
121	214	838
122	214	832
123	215	825
124	215	819
125	216	813
126	216	807
127	217	801
128	218	796
129	218	790
130	219	784
131	219	778
132	220	773
133	220	767
134	221	762
135	221	757
136	222	752
137	223	747
138	223	742
139	224	737
140	225	732
141	225	727
142	226	722
143	226	718
144	227	713
145	227	708
146	228	704
147	229	699
148	229	694
149	230	690
150	230	686
151	231	681
152	231	677
153	232	673
154	232	668
155	233	664
156	234	660
157	234	656
158	235	652
159	235	648
160	236	644
161	236	640
162	237	636
163	238	632
164	238	629
165	239	625
166	239	621
167	240	617
168	240	614
169	241	610
170	241	607
171	242	603
172	243	599
173	243	596
174	244	593
175	244	589
176	245	586
177	245	582
178	246	579
179	246	576
180	247	572
181	248	569
182	248	566
183	249	563
184	250	561
185	250	558
186	251	555
187	252	552
188	252	549
189	253	546
190	253	543
191	254	540
192	255	537
193	255	535
194	256	532
195	256	529
196	257	526
197	257	523
198	258	521
199	259	518
200	259	515
201	260	513
202	260	510
203	261	507
204	262	505
205	262	502
206	263	500
207	263	497
208	264	494
209	265	492
210	265	489
211	266	487
212	266	485
213	267	482
214	268	480
215	268	477
216	269	475
217	269	472
218	270	470
219	271	468
220	271	465
221	272	463
222	272	461
223	273	458
224	273	456
225	274	454
226	275	452
227	275	449
228	276	447
229	276	445
230	277	443
231	278	441
232	278	438
233	279	437
234	280	434
235	280	432
236	281	430
237	281	428
238	282	426
239	282	424
240	283	422
241	284	420
242	284	418
243	285	416
244	285	414
245	286	412
246	287	410
247	287	408
248	288	406
249	288	404
250	289	402
251	290	400
252	290	398
253	291	396
254	291	394
255	292	392
256	293	391
257	293	389
258	294	387
259	294	385
260	295	383
261	295	381
262	296	379
263	297	378
264	297	376
265	298	374
266	298	372
267	299	371
268	300	369
269	300	367
270	301	365
271	301	363
272	302	362
273	302	360
274	303	358
275	304	356
276	304	355
277	305	353
278	305	351
279	306	350
280	307	348
281	307	346
282	308	345
283	308	343
284	309	341
285	309	340
286	310	338
287	311	337
288	312	336
289	313	334
290	313	333
291	314	331
292	315	330
293	316	328
294	316	327
295	318	327
296	319	325
297	319	324
298	320	322
299	322	322
300	322	320
301	323	319
302	324	318
303	325	316
304	325	315
305	326	313
306	327	312
307	327	310
308	328	309
309	329	307
310	329	306
311	330	304
312	330	303
313	331	301
314	332	300
315	332	298
316	333	297
317	334	296
318	335	295
319	335	293
320	336	292
321	337	291
322	337	289
323	338	288
324	338	286
325	339	285
326	340	283
327	340	282
328	341	281
329	341	279
330	342	278
331	343	276
332	343	275
333	344	274
334	344	272
335	345	271
336	345	270
337	346	268
338	347	267
339	347	266
340	348	264
341	349	263
342	349	262
343	350	260
344	351	259
345	351	258
346	352	256
347	352	255
348	353	254
349	354	252
350	354	251
351	355	250
352	356	249
353	356	247
354	357	246
355	357	245
356	358	243
357	358	242
358	359	241
359	360	240
360	360	238
361	361	237
362	362	236
363	362	235
364	363	233
365	363	232
366	364	231
367	364	230
368	365	228
369	366	227
370	366	226
371	368	225
372	368	224
373	369	223
374	369	221
375	370	220
376	370	219
377	371	218
378	372	217
379	372	215
380	373	214
381	374	213
382	375	212
383	375	211
384	376	210
385	376	208
386	377	207
387	378	206
388	378	205
389	379	204
390	379	203
391	380	201
392	381	200
393	381	199
394	382	198
395	382	197
396	383	196
397	383	194
398	384	193
399	385	192
400	385	191
401	386	190
402	387	189
403	387	188
404	388	186
405	388	185
406	389	184
407	389	183
408	390	182
409	391	181
410	391	180
411	392	178
412	392	177
413	393	176
414	393	175
415	394	174
416	395	173
417	395	172
418	396	171
419	396	170
420	397	168
421	398	167
422	398	166
423	399	165
424	399	164
425	400	163
426	401	162
427	401	161
428	402	160
429	402	159
430	403	158
431	403	157
432	404	156
433	405	154
434	405	153
435	406	152
436	406	151
437	407	150
438	408	149
439	408	148
440	409	147
441	409	146
442	410	145
443	410	144
444	411	143
445	412	142
446	412	141
447	413	140
448	413	139
449	414	138
450	415	137
451	415	136
452	416	135
453	416	134
454	417	133
455	418	132
456	418	131
457	419	129
458	419	128
459	420	127
460	420	126
461	421	125
462	422	124
463	422	123
464	423	122
465	423	121
466	424	120
467	425	119
468	425	118
469	426	117
470	426	116
471	427	115
472	427	114
473	428	113
474	429	112
475	429	111
476	430	110
477	430	109
478	431	108
479	431	107
480	432	106
481	433	106
482	433	105
483	434	104
484	434	103
485	435	102
486	435	101
487	436	100
488	437	99
489	437	98
490	438	97
491	438	96
492	439	95
493	440	94
494	440	93
495	441	92
496	441	91
497	442	90
498	442	89
499	443	88
500	444	87
501	444	86
502	445	85
503	445	84
504	446	83
505	447	83
506	447	82
507	448	81
508	448	80
509	449	79
510	449	78
511	450	77
512	451	76
513	451	75
514	452	74
515	452	73
516	453	72
517	454	71
518	454	70
519	455	70
520	455	69
